
2024/06/07 (17:17:34) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/07 (17:19:24) | ===> btop++ v.1.3.2
2024/06/07 (17:19:24) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/07 (17:19:24) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/09 (10:11:00) | ===> btop++ v.1.3.2
2024/06/09 (10:11:00) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/09 (10:11:00) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/09 (10:54:30) | ===> btop++ v.1.3.2
2024/06/09 (10:54:30) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/09 (10:54:30) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/16 (12:12:00) | ===> btop++ v.1.3.2
2024/06/16 (12:12:00) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/16 (12:12:00) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/18 (15:27:58) | ===> btop++ v.1.3.2
2024/06/18 (15:27:58) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/18 (15:27:58) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/18 (15:28:49) | ===> btop++ v.1.3.2
2024/06/18 (15:28:49) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/18 (15:28:49) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/18 (17:00:47) | ===> btop++ v.1.3.2
2024/06/18 (17:00:47) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/18 (17:00:47) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/19 (10:48:23) | ===> btop++ v.1.3.2
2024/06/19 (10:48:23) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/19 (10:48:23) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/19 (12:02:03) | ===> btop++ v.1.3.2
2024/06/19 (12:02:03) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/19 (12:02:03) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/19 (20:32:09) | ===> btop++ v.1.3.2
2024/06/19 (20:32:09) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/19 (20:32:09) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

